id,name,location,cuisine,avg_cost_for_two,rating,budget_band
kings-court-daba::banashankari,Kings Court Daba,banashankari,"chinese, north indian",450.0,,low
mm-tiffen-center::banashankari,MM Tiffen Center,banashankari,"south indian, fast food",150.0,,low
sri-raghavendra-prasanna-coffee-beans-club::banashankari,Sri Raghavendra Prasanna Coffee Beans Club,banashankari,south indian,150.0,,low
sri-balaji-tiffin-centre::banashankari,Sri Balaji Tiffin Centre,banashankari,"south indian, chinese",300.0,,low
new-indraprasta::banashankari,New Indraprasta,banashankari,"south indian, beverages",150.0,,low
sree-sagar::banashankari,Sree Sagar,banashankari,south indian,200.0,,low
the-house-of-vadapav::banashankari,The House Of Vadapav,banashankari,nan,150.0,,low
bitez::banashankari,Bitez,banashankari,fast food,100.0,,low
right-pizza::basavanagudi,Right Pizza,basavanagudi,pizza,300.0,,low
pallavi-bar-restaurant::mysore-road,Pallavi Bar & Restaurant,mysore road,"north indian, south indian, chinese",550.0,,low
tejas-bar-and-restaurant::nagarbhavi,Tejas Bar and Restaurant,nagarbhavi,"chinese, south indian",800.0,,low
old-days-north-indian-restaurant::basavanagudi,Old Days North Indian Restaurant,basavanagudi,north indian,450.0,,low
aahar-cafe::basavanagudi,Aahar Cafe,basavanagudi,south indian,100.0,,low
inchara-restaurant::basavanagudi,Inchara Restaurant,basavanagudi,"north indian, chinese",300.0,,low
charisma-s-matru-sagar::mysore-road,Charisma's Matru Sagar,mysore road,"south indian, chinese",150.0,,low
sticke2waffles::basavanagudi,Sticke2Waffles,basavanagudi,"south indian, fast food",100.0,,low
nimmoora-thindi::mysore-road,Nimmoora Thindi,mysore road,"north indian, south indian",400.0,,low
oasis-food-center::basavanagudi,Oasis Food Center,basavanagudi,fast food,150.0,,low
godumana-moddha-hotel::mysore-road,Godumana Moddha Hotel,mysore road,biryani,250.0,,low
akash-gowdru-biryani-center::uttarahalli,Akash Gowdru Biryani Center,uttarahalli,"north indian, chinese",300.0,,low
new-sri-udupi-restaurant::jayanagar,New Sri Udupi Restaurant,jayanagar,"north indian, south indian, chinese, beverages, fast food",200.0,,low
ambur-dum-biriyani::basavanagudi,Ambur Dum Biriyani,basavanagudi,biryani,160.0,,low
food-plaza::basavanagudi,Food Plaza,basavanagudi,"south indian, north indian, chinese",150.0,,low
linnet-bar-restaurant::banashankari,Linnet Bar & Restaurant,banashankari,"fast food, finger food",500.0,,low
crave-bit-cafe::jp-nagar,Crave Bit Cafe,jp nagar,cafe,600.0,,low
cafe-conico::bannerghatta-road,Cafe Conico,bannerghatta road,"cafe, beverages",600.0,,low
wellness-cafe::bannerghatta-road,Wellness Cafe,bannerghatta road,"cafe, healthy food",400.0,,low
healthy-smoothie::bannerghatta-road,Healthy Smoothie,bannerghatta road,"american, bakery, beverages, cafe, healthy food, juices, north indian, sandwich",300.0,,low
me-n-u::bannerghatta-road,Me N U,bannerghatta road,"finger food, wraps, cafe, continental, healthy food",500.0,,low
cafe-zuppa::jp-nagar,Cafe Zuppa,jp nagar,"cafe, pizza, fast food",450.0,,low
crave-bit-cafe::jp-nagar,Crave Bit Cafe,jp nagar,cafe,600.0,,low
furry-fairy-paw-paradise::jp-nagar,Furry Fairy Paw Paradise,jp nagar,cafe,500.0,,low
junkealth::jp-nagar,Junkealth,jp nagar,"healthy food, beverages, cafe",300.0,,low
poha-house::btm,Poha House,btm,maharashtrian,200.0,,low
bathinda-tandoor::btm,Bathinda Tandoor,btm,north indian,300.0,,low
adyar-ananda-bhavan-sweets::jp-nagar,Adyar Ananda Bhavan Sweets,jp nagar,"mithai, desserts",200.0,,low
le-arabia::jp-nagar,Le Arabia,jp nagar,"north indian, mughlai",600.0,,low
hotel-brundavan::bannerghatta-road,Hotel Brundavan,bannerghatta road,"south indian, north indian, chinese",250.0,,low
masale-daan::btm,Masale Daan,btm,north indian,350.0,,low
thalassery-restaurant::bannerghatta-road,Thalassery Restaurant,bannerghatta road,"seafood, biryani, south indian, north indian, chinese, arabian, kebab, kerala",600.0,,low
ahmed-s-little-hut::btm,Ahmed's Little Hut,btm,fast food,250.0,,low
slurpy-shakes::btm,Slurpy Shakes,btm,beverages,300.0,,low
thalis-of-india::jp-nagar,Thalis Of India,jp nagar,"south indian, north indian, beverages",500.0,,low
artinci-artisanal-ice-cream::jp-nagar,Artinci Artisanal Ice Cream,jp nagar,"desserts, ice cream",300.0,,low
totus::btm,Totus,btm,chinese,300.0,,low
