id,name,location,cuisine,avg_cost_for_two,rating,budget_band
naveen-kabab-biriyani-mane::banashankari,Naveen Kabab & Biriyani Mane,banashankari,biryani,300.0,3.2,low
katriguppe-donne-biryani::banashankari,Katriguppe Donne Biryani,banashankari,north indian,300.0,3.2,low
atithi-point-ande-ka-funda::banashankari,Atithi Point Ande Ka Funda,banashankari,north indian,150.0,3.1,low
just-bake::banashankari,Just Bake,banashankari,"bakery, desserts",400.0,3.4,low
k27---the-pub::banashankari,K27 - The Pub,banashankari,"chinese, north indian",1000.0,3.1,medium
bengaluru-coffee-house::banashankari,Bengaluru Coffee House,banashankari,"south indian, north indian, chinese, street food",300.0,4.1,low
new-mangalore-lunch-home::banashankari,New Mangalore Lunch Home,banashankari,"mangalorean, south indian, north indian",200.0,3.3,low
coffee-bytes::banashankari,Coffee Bytes,banashankari,"fast food, south indian",100.0,3.1,low
parjanya-chat-zone::banashankari,Parjanya Chat Zone,banashankari,"street food, fast food",200.0,3.3,low
kwality-wall-s-swirl-s-happiness-station::banashankari,Kwality Wall's Swirl's Happiness Station,banashankari,"ice cream, desserts",200.0,2.9,low
ruchi-maayaka::banashankari,Ruchi Maayaka,banashankari,south indian,100.0,3.3,low
anna-kuteera::banashankari,Anna Kuteera,banashankari,"south indian, north indian, chinese",450.0,4.0,low
darbar::banashankari,Darbar,banashankari,"north indian, chinese",800.0,3.0,low
vijayalakshmi::basavanagudi,Vijayalakshmi,basavanagudi,south indian,200.0,3.9,low
sri-udupi-food-hub::jayanagar,Sri Udupi Food Hub,jayanagar,"south indian, north indian, chinese, beverages",500.0,4.1,low
udupi-upahar::banashankari,Udupi Upahar,banashankari,"south indian, chinese, north indian, juices",300.0,3.8,low
house-of-kebabs::basavanagudi,House Of Kebabs,basavanagudi,"north indian, kebab, biryani, chinese",650.0,3.8,low
roll-n-rock::kumaraswamy-layout,Roll N Rock,kumaraswamy layout,"chinese, north indian, mughlai, rolls",400.0,3.8,low
box8--desi-meals::banashankari,BOX8- Desi Meals,banashankari,"north indian, mughlai, fast food",500.0,4.1,low
kfc::banashankari,KFC,banashankari,"burger, fast food",450.0,3.8,low
roll-over::jayanagar,Roll Over,jayanagar,"desserts, ice cream, beverages, fast food, sandwich",500.0,4.1,low
